sorting_algos,random_array,asc_array,alm_asc_array,desc_array,dense_array,sparse_array
bubble_sort, 75.006819, 40.633011, 37.507248, 100.016594, 62.514734, 75.014591
cocktail_sort, 62.467194, 0.000000, 3.127337, 106.251240, 62.494469, 62.477398
comb_sort, 0.000000, 3.125811, 0.000000, 0.000000, 0.000000, 0.000000
selection_sort, 31.196976, 25.001812, 25.001001, 31.222486, 31.230116, 31.196260
double_selection_sort, 15.629911, 25.008774, 28.954411, 21.868181, 15.626955, 15.620852
insertion_sort, 31.258821, 3.120375, 0.400925, 59.375191, 31.260824, 31.249142
shell_sort, 0.000000, 3.124619, 6.643963, 0.000000, 0.000000, 0.000000
gnome_sort, 93.752909, 6.256437, 4.122162, 171.842384, 93.754387, 93.760729
merge_sort, 0.000000, 0.000000, 0.607061, 0.000000, 0.000000, 0.000000
quick_sort2, 0.000000, 6.250191, 3.130436, 6.249905, 0.000000, 0.000000
heap_sort1, 15.594196, 3.124523, 0.000000, 0.000000, 15.614176, 15.583897
counting_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
bucket_sort, 0.000000, 0.000000, 0.000000, 3.125715, 0.000000, 0.000000
radix_sort, 0.000000, 0.000000, 6.248331, 0.000000, 0.000000, 3.125572
sorted, 3.120518, 0.000000, 0.000000, 0.000000, 3.125286, 0.000000
